name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
Adler Avenue,60,8936699,16,55,1,228.69,,,,residential,6,"LINESTRING (-121.9527007 37.2789809, -121.9534762 37.2789768, -121.9538210 37.2789746, -121.9541315 37.2789727, -121.9545454 37.2789724, -121.9547211 37.2789595, -121.9548853 37.2789233, -121.9552333 37.2787858)",auto,1,0,,
Adler Avenue,61,8936699,55,16,1,228.69,,,,residential,6,"LINESTRING (-121.9552333 37.2787858, -121.9548853 37.2789233, -121.9547211 37.2789595, -121.9545454 37.2789724, -121.9541315 37.2789727, -121.9538210 37.2789746, -121.9534762 37.2789768, -121.9527007 37.2789809)",auto,1,0,,
Cristich Lane,62,8936853,56,57,1,457.99,,,,unclassified,15,"LINESTRING (-121.9451900 37.2751140, -121.9451878 37.2751949, -121.9451916 37.2754961, -121.9451986 37.2756787, -121.9452269 37.2764563, -121.9452322 37.2766019, -121.9452441 37.2769261, -121.9451824 37.2770477, -121.9449464 37.2773070, -121.9447687 37.2775212, -121.9446712 37.2776389, -121.9444976 37.2778432, -121.9443948 37.2779688, -121.9441902 37.2782203, -121.9441178 37.2783082, -121.9440400 37.2784030, -121.9439782 37.2784774, -121.9438069 37.2786835, -121.9437211 37.2787871, -121.9436595 37.2788613)",auto,1,0,,
Cristich Lane,63,8936853,57,56,1,457.99,,,,unclassified,15,"LINESTRING (-121.9436595 37.2788613, -121.9437211 37.2787871, -121.9438069 37.2786835, -121.9439782 37.2784774, -121.9440400 37.2784030, -121.9441178 37.2783082, -121.9441902 37.2782203, -121.9443948 37.2779688, -121.9444976 37.2778432, -121.9446712 37.2776389, -121.9447687 37.2775212, -121.9449464 37.2773070, -121.9451824 37.2770477, -121.9452441 37.2769261, -121.9452322 37.2766019, -121.9452269 37.2764563, -121.9451986 37.2756787, -121.9451916 37.2754961, -121.9451878 37.2751949, -121.9451900 37.2751140)",auto,1,0,,
Sweetbriar Drive,64,8937639,58,59,1,88.38,,,,residential,6,"LINESTRING (-121.9388229 37.2762749, -121.9388065 37.2762084, -121.9385769 37.2755030)",auto,1,0,,
Sweetbriar Drive,65,8937639,59,58,1,88.38,,,,residential,6,"LINESTRING (-121.9385769 37.2755030, -121.9388065 37.2762084, -121.9388229 37.2762749)",auto,1,0,,
Alice Avenue,66,8938403,60,61,1,226.06,,,,residential,6,"LINESTRING (-121.9498195 37.2838793, -121.9496660 37.2838804, -121.9472694 37.2838974)",auto,1,0,,
Alice Avenue,67,8938403,61,60,1,226.06,,,,residential,6,"LINESTRING (-121.9472694 37.2838974, -121.9496660 37.2838804, -121.9498195 37.2838793)",auto,1,0,,
Alice Avenue,68,8938403,61,62,1,143.96,,,,residential,6,"LINESTRING (-121.9472694 37.2838974, -121.9457359 37.2839003, -121.9456454 37.2839004)",auto,1,0,,
Alice Avenue,69,8938403,62,61,1,143.96,,,,residential,6,"LINESTRING (-121.9456454 37.2839004, -121.9457359 37.2839003, -121.9472694 37.2838974)",auto,1,0,,
Sunnyside Avenue,70,8938744,63,64,1,174.33,,,,residential,6,"LINESTRING (-121.9498090 37.2829114, -121.9496655 37.2829110, -121.9496417 37.2829111, -121.9492051 37.2829120, -121.9491164 37.2829114, -121.9485032 37.2829069, -121.9478424 37.2829101)",auto,1,0,,
Sunnyside Avenue,71,8938744,64,63,1,174.33,,,,residential,6,"LINESTRING (-121.9478424 37.2829101, -121.9485032 37.2829069, -121.9491164 37.2829114, -121.9492051 37.2829120, -121.9496417 37.2829111, -121.9496655 37.2829110, -121.9498090 37.2829114)",auto,1,0,,
Sunnyside Avenue,72,8938744,64,65,1,188.04,,,,residential,6,"LINESTRING (-121.9478424 37.2829101, -121.9469662 37.2829103, -121.9457212 37.2829152)",auto,1,0,,
Sunnyside Avenue,73,8938744,65,64,1,188.04,,,,residential,6,"LINESTRING (-121.9457212 37.2829152, -121.9469662 37.2829103, -121.9478424 37.2829101)",auto,1,0,,
