name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
West 4th Street,63,13410492,54,55,1,10.49,,,,residential,6,"LINESTRING (-118.2583989 34.0558431, -118.2585000 34.0558863)",auto,1,0,,
West 4th Street,64,13410492,55,54,1,10.49,,,,residential,6,"LINESTRING (-118.2585000 34.0558863, -118.2583989 34.0558431)",auto,1,0,,
North Bixel Street,65,13410963,34,56,1,304.0,1,,,residential,6,"LINESTRING (-118.2554321 34.0635094, -118.2542008 34.0654051, -118.2539304 34.0658386, -118.2538765 34.0659261)",auto,1,0,,
North Bixel Street,66,13410963,56,34,1,304.0,1,,,residential,6,"LINESTRING (-118.2538765 34.0659261, -118.2539304 34.0658386, -118.2542008 34.0654051, -118.2554321 34.0635094)",auto,1,0,,
North Bixel Street,67,13410964,57,33,1,107.18,1,,,residential,6,"LINESTRING (-118.2555622 34.0624746, -118.2552860 34.0629125, -118.2550225 34.0633305)",auto,1,0,,
North Bixel Street,68,13410964,33,57,1,107.18,1,,,residential,6,"LINESTRING (-118.2550225 34.0633305, -118.2552860 34.0629125, -118.2555622 34.0624746)",auto,1,0,,
Mignonette Street,69,13411686,58,59,1,95.69,,,,residential,6,"LINESTRING (-118.2524786 34.0600195, -118.2526132 34.0600533, -118.2532578 34.0603379, -118.2534037 34.0604049)",auto,1,0,,
Mignonette Street,70,13411686,59,58,1,95.69,,,,residential,6,"LINESTRING (-118.2534037 34.0604049, -118.2532578 34.0603379, -118.2526132 34.0600533, -118.2524786 34.0600195)",auto,1,0,,
Sunvue Place,71,13418605,60,61,1,41.29,1,,,residential,6,"LINESTRING (-118.2503419 34.0658396, -118.2504545 34.0662000)",auto,1,0,,
Sunvue Place,72,13418605,61,60,1,41.29,1,,,residential,6,"LINESTRING (-118.2504545 34.0662000, -118.2503419 34.0658396)",auto,1,0,,
